FIPS,County,Site,Sex,Rate,Unstable Rate,Count,Pop,Lower CI,Upper CI
27001,Aitkin County,All sites,All,465.8,,760,"79,137",428.1,506.7
27003,Anoka County,All sites,All,502.3,,"9,896","1,753,197",492.1,512.6
27005,Becker County,All sites,All,512.2,,"1,259","170,136",482.8,543
27007,Beltrami County,All sites,All,507.3,,"1,337","232,108",479.5,536.4
27009,Benton County,All sites,All,445.1,,968,"200,857",416.8,474.9
27011,Big Stone County,All sites,All,494,,220,"24,939",425.2,572.7
27013,Blue Earth County,All sites,All,479.3,,"1,647","334,301",455.6,503.9
27015,Brown County,All sites,All,520.9,,939,"125,780",485.9,558
27017,Carlton County,All sites,All,479.8,,"1,120","178,177",451.4,509.6
27019,Carver County,All sites,All,465,,"2,435","509,852",446.1,484.5
27021,Cass County,All sites,All,507.9,,"1,268","146,085",477.7,539.7
27023,Chippewa County,All sites,All,560.1,,488,"59,687",508.6,615.9
27025,Chisago County,All sites,All,483,,"1,616","276,568",459.1,507.9
27027,Clay County,All sites,All,524.8,,"1,700","317,689",499.6,550.9
27029,Clearwater County,All sites,All,470.9,,295,"44,132",416.1,531.6
27031,Cook County,All sites,All,455.3,,224,"26,837",390.7,529.7
27033,Cottonwood County,All sites,All,474.8,,405,"56,582",426.1,528
27035,Crow Wing County,All sites,All,509,,"2,473","321,484",487.9,530.9
27037,Dakota County,All sites,All,498.3,,"11,743","2,108,793",489,507.6
27039,Dodge County,All sites,All,491.1,,574,"103,463",451,534
27041,Douglas County,All sites,All,496.8,,"1,417","187,562",469.7,525.3
27043,Faribault County,All sites,All,503.1,,523,"69,011",457.5,552.5
27045,Fillmore County,All sites,All,471.4,,716,"104,759",435.5,509.8
27047,Freeborn County,All sites,All,482.5,,"1,103","152,481",452.6,514
27049,Goodhue County,All sites,All,504.7,,"1,606","231,417",479.1,531.4
27051,Grant County,All sites,All,508.1,,238,"29,650",440.9,583.8
27053,Hennepin County,All sites,All,462.2,,"31,751","6,230,938",457,467.5
27055,Houston County,All sites,All,456,,632,"93,415",419,495.6
27057,Hubbard County,All sites,All,498.2,,837,"105,297",461.8,537.1
27059,Isanti County,All sites,All,510.3,,"1,226","196,874",481.3,540.5
27061,Itasca County,All sites,All,498.5,,"1,720","225,900",473.4,524.7
27063,Jackson County,All sites,All,473.7,,350,"49,693",421.9,530.7
27065,Kanabec County,All sites,All,456.1,,547,"80,505",416.7,498.7
27067,Kandiyohi County,All sites,All,500.5,,"1,392","214,044",473.3,529
27069,Kittson County,All sites,All,464.2,,161,"21,556",388.9,551.6
27071,Koochiching County,All sites,All,434.3,,466,"62,516",392.8,479.7
27073,Lac qui Parle County,All sites,All,441.2,,263,"33,573",384.4,505.4
27075,Lake County,All sites,All,531.4,,485,"52,756",480.5,587.1
27077,Lake of the Woods County,All sites,All,456.1,,142,"18,849",377.6,548.8
27079,Le Sueur County,All sites,All,504.2,,925,"141,146",471.3,539
27081,Lincoln County,All sites,All,581.5,,258,"28,344",505.3,667
27083,Lyon County,All sites,All,483.2,,725,"129,035",447.5,521.1
27087,Mahnomen County,All sites,All,520.5,,186,"27,495",446,604.7
27089,Marshall County,All sites,All,530,,367,"46,856",473.8,591.6
27091,Martin County,All sites,All,476.4,,738,"99,241",439.8,515.4
27085,McLeod County,All sites,All,478.1,,"1,130","179,038",449.7,507.9
27093,Meeker County,All sites,All,473.1,,783,"115,454",439.2,509.1
27095,Mille Lacs County,All sites,All,486.7,,852,"129,150",453.8,521.6
27097,Morrison County,All sites,All,499.4,,"1,133","165,179",469.4,531
27099,Mower County,All sites,All,458.8,,"1,185","199,003",432,486.9
27101,Murray County,All sites,All,460.5,,326,"41,476",408,519
27103,Nicollet County,All sites,All,483.3,,947,"169,937",452,516.2
