FIPS,County,Site,Sex,Rate,Unstable Rate,Count,Pop,Lower CI,Upper CI
27001,Aitkin County,All Malignant Cancers,All,158.2,,274,"79,137",138.1,181.3
27003,Anoka County,All Malignant Cancers,All,152.3,,"2,840","1,753,197",146.6,158.2
27005,Becker County,All Malignant Cancers,All,145.9,,377,"170,136",131.2,162
27007,Beltrami County,All Malignant Cancers,All,151.4,,415,"232,108",136.9,167.1
27009,Benton County,All Malignant Cancers,All,150,,344,"200,857",134.1,167.3
27011,Big Stone County,All Malignant Cancers,All,157.4,,80,"24,939",121.5,203.3
27013,Blue Earth County,All Malignant Cancers,All,140.4,,514,"334,301",128.2,153.5
27015,Brown County,All Malignant Cancers,All,157,,329,"125,780",139.6,176.3
27017,Carlton County,All Malignant Cancers,All,160.4,,383,"178,177",144.5,177.8
27019,Carver County,All Malignant Cancers,All,127.2,,627,"509,852",117.2,137.9
27021,Cass County,All Malignant Cancers,All,163,,412,"146,085",146.8,180.9
27023,Chippewa County,All Malignant Cancers,All,179.5,,177,"59,687",152.6,210.5
27025,Chisago County,All Malignant Cancers,All,153.9,,504,"276,568",140.5,168.4
27027,Clay County,All Malignant Cancers,All,152,,507,"317,689",138.8,166.2
27029,Clearwater County,All Malignant Cancers,All,164,,110,"44,132",134,199.5
27031,Cook County,All Malignant Cancers,All,154.2,,72,"26,837",117.4,201.2
27033,Cottonwood County,All Malignant Cancers,All,143.4,,146,"56,582",119.8,171.2
27035,Crow Wing County,All Malignant Cancers,All,159,,818,"321,484",147.9,170.8
27037,Dakota County,All Malignant Cancers,All,139.8,,"3,175","2,108,793",134.8,144.8
27039,Dodge County,All Malignant Cancers,All,153.8,,182,"103,463",131.9,178.4
27041,Douglas County,All Malignant Cancers,All,157.9,,483,"187,562",143.4,173.6
27043,Faribault County,All Malignant Cancers,All,168.1,,198,"69,011",144.1,195.5
27045,Fillmore County,All Malignant Cancers,All,149.7,,249,"104,759",130.8,171
27047,Freeborn County,All Malignant Cancers,All,152.4,,390,"152,481",137.1,169.2
27049,Goodhue County,All Malignant Cancers,All,157.2,,549,"231,417",143.9,171.5
27051,Grant County,All Malignant Cancers,All,142.7,,71,"29,650",109.1,184.9
27053,Hennepin County,All Malignant Cancers,All,140.9,,"9,617","6,230,938",138,143.8
27055,Houston County,All Malignant Cancers,All,127.6,,193,"93,415",109.5,148.2
27057,Hubbard County,All Malignant Cancers,All,155,,280,"105,297",136.4,176
27059,Isanti County,All Malignant Cancers,All,158.6,,383,"196,874",142.8,175.7
27061,Itasca County,All Malignant Cancers,All,172,,635,"225,900",158.3,186.8
27063,Jackson County,All Malignant Cancers,All,155.2,,132,"49,693",128.4,186.9
27065,Kanabec County,All Malignant Cancers,All,138.8,,167,"80,505",117.9,162.9
27067,Kandiyohi County,All Malignant Cancers,All,144.6,,428,"214,044",130.7,159.7
27069,Kittson County,All Malignant Cancers,All,140.3,,56,"21,556",103.1,189.5
27071,Koochiching County,All Malignant Cancers,All,157.3,,182,"62,516",134.5,184
27073,Lac qui Parle County,All Malignant Cancers,All,132.7,,88,"33,573",103.8,169.2
27075,Lake County,All Malignant Cancers,All,141.6,,144,"52,756",118,169.8
27077,Lake of the Woods County,All Malignant Cancers,All,122.1,,40,"18,849",86.1,172.1
27079,Le Sueur County,All Malignant Cancers,All,161.8,,301,"141,146",143.8,181.6
27081,Lincoln County,All Malignant Cancers,All,162.4,,87,"28,344",127.2,206.3
27083,Lyon County,All Malignant Cancers,All,157.9,,258,"129,035",138.5,179.2
27087,Mahnomen County,All Malignant Cancers,All,204.7,,76,"27,495",160.3,258.6
