FIPS,County,State,Insurance Coverage,Medicaid Enrollment,Gini Coefficient,Household Income,Annual Labor Force Participation Rate (2015-2019),Annual Unemployment Rate (2015-2019),Below Poverty,Uninsured,Monthly Unemployment Rate (Dec-22)
27001,Aitkin County,Minnesota,0.944743935309973,0.2628674111153895,0.4309,50900.0,0.4812662942271881,0.0558737037610277,0.0654296875,0.055256064690026974,0.063
27001,Aitkin County,Minnesota,0.944743935309973,0.2628674111153895,0.4309,50900.0,0.4812662942271881,0.0558737037610277,0.0654296875,0.055256064690026974,0.07200000000000001
27003,Anoka County,Minnesota,0.9574237727035542,0.15810240283060198,0.3894,88680.0,0.7086939708208824,0.038350497053396035,0.04149164166309473,0.042576227296445834,0.031000000000000003
27003,Anoka County,Minnesota,0.9574237727035542,0.15810240283060198,0.3894,88680.0,0.7086939708208824,0.038350497053396035,0.04149164166309473,0.042576227296445834,0.027000000000000003
27005,Becker County,Minnesota,0.9352322625375549,0.2385024266235267,0.4741,64296.0,0.622910914111321,0.03610382035578886,0.06285023623777607,0.06476773746244513,0.04
27005,Becker County,Minnesota,0.9352322625375549,0.2385024266235267,0.4741,64296.0,0.622910914111321,0.03610382035578886,0.06285023623777607,0.06476773746244513,0.044000000000000004
27007,Beltrami County,Minnesota,0.9133014017664894,0.28039724040954433,0.4425,55910.0,0.6305888998728993,0.05500313535787871,0.10297565374211001,0.08669859823351056,0.04
27007,Beltrami County,Minnesota,0.9133014017664894,0.28039724040954433,0.4425,55910.0,0.6305888998728993,0.05500313535787871,0.10297565374211001,0.08669859823351056,0.044000000000000004
27009,Benton County,Minnesota,0.9628369214076101,0.22411284555251412,0.3952,65529.0,0.7258841424768665,0.03916004540295119,0.05463230172156434,0.037163078592389875,0.043
27009,Benton County,Minnesota,0.9628369214076101,0.22411284555251412,0.3952,65529.0,0.7258841424768665,0.03916004540295119,0.05463230172156434,0.037163078592389875,0.052000000000000005
27011,Big Stone County,Minnesota,0.9408025427095749,0.2133492252681764,0.4501,58095.0,0.579520697167756,0.023809523809523808,0.08846990572878898,0.05919745729042514,0.049
27011,Big Stone County,Minnesota,0.9408025427095749,0.2133492252681764,0.4501,58095.0,0.579520697167756,0.023809523809523808,0.08846990572878898,0.05919745729042514,0.044000000000000004
27013,Blue Earth County,Minnesota,0.9634645391114905,0.17263814879147407,0.4257,65000.0,0.7132026561556762,0.033832059548407976,0.08583441138421734,0.03653546088850945,0.027999999999999997
27013,Blue Earth County,Minnesota,0.9634645391114905,0.17263814879147407,0.4257,65000.0,0.7132026561556762,0.033832059548407976,0.08583441138421734,0.03653546088850945,0.025
27015,Brown County,Minnesota,0.9587028716546201,0.14053526079312365,0.3959,62999.0,0.6637700534759359,0.027909653287296794,0.05356371490280778,0.04129712834537991,0.037000000000000005
27015,Brown County,Minnesota,0.9587028716546201,0.14053526079312365,0.3959,62999.0,0.6637700534759359,0.027909653287296794,0.05356371490280778,0.04129712834537991,0.03
27017,Carlton County,Minnesota,0.9550712002324906,0.207846556233653,0.4019,68579.0,0.5922373641538727,0.049574740766631716,0.06551038444542642,0.04492879976750941,0.045
27017,Carlton County,Minnesota,0.9550712002324906,0.207846556233653,0.4019,68579.0,0.5922373641538727,0.049574740766631716,0.06551038444542642,0.04492879976750941,0.049
27019,Carver County,Minnesota,0.971688986683865,0.09360180583481922,0.4134,107890.0,0.737783045657703,0.03037351897717384,0.022646426936216674,0.028311013316134948,0.023
27019,Carver County,Minnesota,0.971688986683865,0.09360180583481922,0.4134,107890.0,0.737783045657703,0.03037351897717384,0.022646426936216674,0.028311013316134948,0.026000000000000002
27021,Cass County,Minnesota,0.92360338491622,0.2736590135194363,0.4273,56487.0,0.5592878044759511,0.06654384672070744,0.07800099206349206,0.07639661508378004,0.054000000000000006
27021,Cass County,Minnesota,0.92360338491622,0.2736590135194363,0.4273,56487.0,0.5592878044759511,0.06654384672070744,0.07800099206349206,0.07639661508378004,0.07
27023,Chippewa County,Minnesota,0.919629057187017,0.20043927438379566,0.4135,59051.0,0.6431435445068163,0.05361596009975062,0.06672788490970309,0.08037094281298296,0.040999999999999995
27023,Chippewa County,Minnesota,0.919629057187017,0.20043927438379566,0.4135,59051.0,0.6431435445068163,0.05361596009975062,0.06672788490970309,0.08037094281298296,0.03
27025,Chisago County,Minnesota,0.9636208275761763,0.14648025598138317,0.3729,90870.0,0.6794446655170889,0.03448949046658424,0.03875866622647738,0.036379172423823714,0.038
27025,Chisago County,Minnesota,0.9636208275761763,0.14648025598138317,0.3729,90870.0,0.6794446655170889,0.03448949046658424,0.03875866622647738,0.036379172423823714,0.045
27027,Clay County,Minnesota,0.957163912807385,0.18259250639981384,0.4257,67984.0,0.7073607902493428,0.03978264541922406,0.06931020786442474,0.042836087192615,0.026000000000000002
27027,Clay County,Minnesota,0.957163912807385,0.18259250639981384,0.4257,67984.0,0.7073607902493428,0.03978264541922406,0.06931020786442474,0.042836087192615,0.023
27029,Clearwater County,Minnesota,0.8894167953438651,0.23838935740586767,0.4501,56605.0,0.5953319187632616,0.079938900203666,0.08987701040681173,0.11058320465613491,0.078
27029,Clearwater County,Minnesota,0.8894167953438651,0.23838935740586767,0.4501,56605.0,0.5953319187632616,0.079938900203666,0.08987701040681173,0.11058320465613491,0.096
27031,Cook County,Minnesota,0.9433008306247743,0.18689057421451788,0.4177,65045.0,0.6271856786011657,0.017922336541652838,0.04539559014267185,0.05669916937522568,0.051
27031,Cook County,Minnesota,0.9433008306247743,0.18689057421451788,0.4177,65045.0,0.6271856786011657,0.017922336541652838,0.04539559014267185,0.05669916937522568,0.049
27033,Cottonwood County,Minnesota,0.9569323095931516,0.1655634983673109,0.4128,56297.0,0.6371355155848508,0.041907767841486934,0.07864406779661016,0.043067690406848436,0.03
27033,Cottonwood County,Minnesota,0.9569323095931516,0.1655634983673109,0.4128,56297.0,0.6371355155848508,0.041907767841486934,0.07864406779661016,0.043067690406848436,0.027000000000000003
27035,Crow Wing County,Minnesota,0.9414337005554362,0.23512443612483505,0.4323,60810.0,0.6068597132414957,0.04709842799345255,0.07064908491531204,0.05856629944456382,0.049
27035,Crow Wing County,Minnesota,0.9414337005554362,0.23512443612483505,0.4323,60810.0,0.6068597132414957,0.04709842799345255,0.07064908491531204,0.05856629944456382,0.047
27037,Dakota County,Minnesota,0.9643207855973813,0.1351398077499366,0.4114,93892.0,0.7267691024289084,0.03950740031201753,0.034794228149485025,0.035679214402618675,0.025
27037,Dakota County,Minnesota,0.9643207855973813,0.1351398077499366,0.4114,93892.0,0.7267691024289084,0.03950740031201753,0.034794228149485025,0.035679214402618675,0.027999999999999997
27039,Dodge County,Minnesota,0.9567570179253032,0.14678455814852395,0.377,84568.0,0.7223463687150838,0.027326630574890435,0.03732912723449001,0.04324298207469679,0.039
27039,Dodge County,Minnesota,0.9567570179253032,0.14678455814852395,0.377,84568.0,0.7223463687150838,0.027326630574890435,0.03732912723449001,0.04324298207469679,0.028999999999999998
27041,Douglas County,Minnesota,0.9684218774486758,0.14412579010604398,0.4344,69069.0,0.6476236507169325,0.031991641375192795,0.04343525179856115,0.031578122551324195,0.033
