FIPS,County,State,BMI_Obese,Cancer_Prevalence,Currently_Smoke,Met_Breast_Screen,Met_Cervical_Screen,Met_Colon_Screen
27001,Aitkin County,Minnesota,0.35,0.105,0.191,0.7340000000000001,0.807,0.765
27003,Anoka County,Minnesota,0.332,0.067,0.162,0.7659999999999999,0.821,0.741
27005,Becker County,Minnesota,0.363,0.083,0.183,0.738,0.8009999999999999,0.735
27007,Beltrami County,Minnesota,0.371,0.069,0.212,0.753,0.802,0.769
27009,Benton County,Minnesota,0.379,0.067,0.187,0.731,0.813,0.7509999999999999
27011,Big Stone County,Minnesota,0.36200000000000004,0.095,0.18,0.738,0.807,0.7659999999999999
27013,Blue Earth County,Minnesota,0.28300000000000003,0.059000000000000004,0.161,0.732,0.785,0.755
27015,Brown County,Minnesota,0.35600000000000004,0.08199999999999999,0.163,0.7659999999999999,0.8190000000000001,0.774
27017,Carlton County,Minnesota,0.366,0.075,0.207,0.718,0.8170000000000001,0.7290000000000001
27019,Carver County,Minnesota,0.304,0.068,0.124,0.7709999999999999,0.843,0.784
27021,Cass County,Minnesota,0.326,0.092,0.19,0.746,0.8220000000000001,0.7709999999999999
27023,Chippewa County,Minnesota,0.382,0.08199999999999999,0.185,0.737,0.8140000000000001,0.747
27025,Chisago County,Minnesota,0.35200000000000004,0.07200000000000001,0.165,0.7390000000000001,0.8290000000000001,0.737
27027,Clay County,Minnesota,0.36,0.062,0.16899999999999998,0.763,0.812,0.75
27029,Clearwater County,Minnesota,0.337,0.083,0.215,0.728,0.805,0.713
27031,Cook County,Minnesota,0.326,0.094,0.14,0.75,0.8320000000000001,0.765
27033,Cottonwood County,Minnesota,0.371,0.086,0.184,0.722,0.8059999999999999,0.748
27035,Crow Wing County,Minnesota,0.37200000000000005,0.086,0.18100000000000002,0.7509999999999999,0.8140000000000001,0.774
27037,Dakota County,Minnesota,0.32799999999999996,0.069,0.134,0.782,0.858,0.7829999999999999
27039,Dodge County,Minnesota,0.33299999999999996,0.07,0.168,0.752,0.8270000000000001,0.737
27041,Douglas County,Minnesota,0.32799999999999996,0.087,0.161,0.764,0.828,0.777
27043,Faribault County,Minnesota,0.354,0.08800000000000001,0.182,0.731,0.818,0.7609999999999999
27045,Fillmore County,Minnesota,0.341,0.084,0.18100000000000002,0.7190000000000001,0.8140000000000001,0.757
27047,Freeborn County,Minnesota,0.33799999999999997,0.084,0.188,0.743,0.7879999999999999,0.753
27049,Goodhue County,Minnesota,0.332,0.08,0.17,0.741,0.823,0.755
27051,Grant County,Minnesota,0.348,0.08800000000000001,0.185,0.736,0.821,0.777
27053,Hennepin County,Minnesota,0.27699999999999997,0.061,0.132,0.7440000000000001,0.82,0.763
27055,Houston County,Minnesota,0.327,0.086,0.17,0.74,0.825,0.762
27057,Hubbard County,Minnesota,0.34299999999999997,0.091,0.17300000000000001,0.715,0.8290000000000001,0.759
27059,Isanti County,Minnesota,0.348,0.073,0.187,0.736,0.816,0.733
27061,Itasca County,Minnesota,0.33399999999999996,0.087,0.188,0.725,0.812,0.772
27063,Jackson County,Minnesota,0.312,0.085,0.171,0.746,0.818,0.754
27065,Kanabec County,Minnesota,0.36,0.08199999999999999,0.207,0.7340000000000001,0.8059999999999999,0.7290000000000001
27067,Kandiyohi County,Minnesota,0.35100000000000003,0.077,0.168,0.7390000000000001,0.8079999999999999,0.735
27069,Kittson County,Minnesota,0.332,0.091,0.16899999999999998,0.7390000000000001,0.816,0.7609999999999999
27071,Koochiching County,Minnesota,0.332,0.091,0.18899999999999997,0.691,0.804,0.733
27073,Lac qui Parle County,Minnesota,0.324,0.096,0.16699999999999998,0.745,0.8140000000000001,0.77
27075,Lake County,Minnesota,0.36200000000000004,0.094,0.16,0.748,0.83,0.773
27077,Lake of the Woods County,Minnesota,0.341,0.09,0.17300000000000001,0.7390000000000001,0.813,0.765
27079,Le Sueur County,Minnesota,0.363,0.076,0.16899999999999998,0.737,0.8270000000000001,0.762
27081,Lincoln County,Minnesota,0.322,0.092,0.18100000000000002,0.721,0.8109999999999999,0.745
27083,Lyon County,Minnesota,0.349,0.07200000000000001,0.175,0.735,0.818,0.742
27085,McLeod County,Minnesota,0.365,0.077,0.17800000000000002,0.75,0.826,0.745
27087,Mahnomen County,Minnesota,0.43,0.078,0.26899999999999996,0.684,0.78,0.7170000000000001
27089,Marshall County,Minnesota,0.34,0.085,0.17800000000000002,0.748,0.821,0.762
27091,Martin County,Minnesota,0.34600000000000003,0.08800000000000001,0.182,0.7140000000000001,0.8079999999999999,0.7240000000000001
27093,Meeker County,Minnesota,0.317,0.08,0.17800000000000002,0.736,0.815,0.765
27095,Mille Lacs County,Minnesota,0.38,0.077,0.212,0.7190000000000001,0.8140000000000001,0.73
27097,Morrison County,Minnesota,0.363,0.08,0.19,0.743,0.821,0.74
27099,Mower County,Minnesota,0.342,0.076,0.201,0.6970000000000001,0.799,0.7490000000000001
27101,Murray County,Minnesota,0.35700000000000004,0.092,0.17,0.742,0.8170000000000001,0.753
27103,Nicollet County,Minnesota,0.325,0.068,0.16,0.737,0.825,0.769
27105,Nobles County,Minnesota,0.386,0.071,0.187,0.728,0.7879999999999999,0.713
27107,Norman County,Minnesota,0.392,0.084,0.175,0.7340000000000001,0.821,0.757
27109,Olmsted County,Minnesota,0.322,0.07,0.138,0.77,0.82,0.767
27111,Otter Tail County,Minnesota,0.307,0.09,0.16399999999999998,0.737,0.8240000000000001,0.757
27113,Pennington County,Minnesota,0.305,0.076,0.184,0.72,0.8240000000000001,0.748
27115,Pine County,Minnesota,0.371,0.081,0.217,0.695,0.818,0.716
27117,Pipestone County,Minnesota,0.349,0.084,0.185,0.71,0.809,0.736
27119,Polk County,Minnesota,0.389,0.077,0.179,0.7609999999999999,0.815,0.764
27121,Pope County,Minnesota,0.331,0.08900000000000001,0.172,0.726,0.8240000000000001,0.778
27123,Ramsey County,Minnesota,0.311,0.063,0.151,0.745,0.825,0.755
27125,Red Lake County,Minnesota,0.37,0.085,0.188,0.737,0.821,0.754
27127,Redwood County,Minnesota,0.39899999999999997,0.083,0.177,0.747,0.816,0.7490000000000001
27129,Renville County,Minnesota,0.363,0.083,0.18899999999999997,0.738,0.802,0.7440000000000001
27131,Rice County,Minnesota,0.336,0.067,0.16699999999999998,0.755,0.805,0.7559999999999999
27133,Rock County,Minnesota,0.33299999999999996,0.083,0.17,0.733,0.8220000000000001,0.757
27135,Roseau County,Minnesota,0.345,0.078,0.184,0.7559999999999999,0.816,0.7559999999999999
27137,St. Louis County,Minnesota,0.313,0.077,0.192,0.72,0.7929999999999999,0.76
27139,Scott County,Minnesota,0.342,0.062,0.139,0.7759999999999999,0.828,0.765
27141,Sherburne County,Minnesota,0.37,0.062,0.17300000000000001,0.7709999999999999,0.8340000000000001,0.7509999999999999
27143,Sibley County,Minnesota,0.342,0.077,0.182,0.726,0.816,0.7340000000000001
27145,Stearns County,Minnesota,0.327,0.066,0.16399999999999998,0.772,0.799,0.7759999999999999
27147,Steele County,Minnesota,0.33799999999999997,0.076,0.17,0.74,0.8290000000000001,0.7440000000000001
27149,Stevens County,Minnesota,0.318,0.067,0.157,0.736,0.7909999999999999,0.7609999999999999
27151,Swift County,Minnesota,0.363,0.085,0.185,0.718,0.812,0.757
27153,Todd County,Minnesota,0.375,0.085,0.19899999999999998,0.7390000000000001,0.802,0.7509999999999999
27155,Traverse County,Minnesota,0.364,0.091,0.179,0.7390000000000001,0.81,0.7609999999999999
27157,Wabasha County,Minnesota,0.331,0.085,0.163,0.7440000000000001,0.823,0.7809999999999999
27159,Wadena County,Minnesota,0.34,0.084,0.198,0.7190000000000001,0.795,0.7340000000000001
27161,Waseca County,Minnesota,0.377,0.075,0.188,0.7390000000000001,0.828,0.752
27163,Washington County,Minnesota,0.3,0.07,0.13,0.769,0.841,0.787
27165,Watonwan County,Minnesota,0.373,0.079,0.18100000000000002,0.733,0.795,0.7240000000000001
27167,Wilkin County,Minnesota,0.35600000000000004,0.08,0.16899999999999998,0.731,0.8220000000000001,0.7490000000000001
27169,Winona County,Minnesota,0.331,0.067,0.158,0.745,0.789,0.752
